adapter	dump_status	compile_status	snapshot_count	adapter_sha256	suffix_tool_sha256	before_cvpipelining_files
ascend_tutorial_01-vector-add.ttadapter	complete	fail:1	1	247232597960f5a37c5960a0bddc886ba56956a556cf07d04ef54130a78ce4ee	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_01-vector-add.ttadapter/before_cvpipelining_func_func_add_kernel_32.mlir
ascend_tutorial_02-fused-softmax.ttadapter	complete	fail:1	1	ec1e3c0a0a2f72c52d420959621a266b375a4d04720c75d6cf0b7a3b27d85e37	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_02-fused-softmax.ttadapter/before_cvpipelining_func_func_softmax_kernel_32.mlir
ascend_tutorial_03-matrix-multiplication.ttadapter	complete	fail:1	1	d83cff83368b0b60e99bc54406a57d5623e3a1cd153ccc32f99dc69abac7f3dc	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_03-matrix-multiplication.ttadapter/before_cvpipelining_func_func_matmul_kernel_32.mlir
ascend_tutorial_04-low-memory-dropout.ttadapter	complete	fail:1	1	d21907306ba09c53ee8eff49e03c7360a635a8d512e497c1400121702ca4ed62	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_04-low-memory-dropout.ttadapter/before_cvpipelining_func_func_dropout_32.mlir
ascend_tutorial_05-layer-norm.ttadapter	complete	fail:1	1	2c208a9cc00bba37266a34f1f33a58d8a3c7a7f0ad00157f5e6b67f35936df5c	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_05-layer-norm.ttadapter/before_cvpipelining_func_func_layer_norm_fwd_fused_32.mlir
ascend_tutorial_06-fused-attention.ttadapter	complete	fail:1	1	9f88ff9c8b0eab6f44bf8259feab06bc6224755c49d8402dbe2f2a73dfff12dc	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_06-fused-attention.ttadapter/before_cvpipelining_func_func_attn_fwd_32.mlir
ascend_tutorial_07-extern-functions.ttadapter	complete	fail:1	1	e5b6dbc6c2ed94d91ed8849feb4277ba294a892cab20180a84da62518eda2357	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_07-extern-functions.ttadapter/before_cvpipelining_func_func_asin_kernel_32.mlir
ascend_tutorial_08-grouped-gemm.ttadapter	complete	fail:1	1	995d7cd07af4eec9c2bf95374dfb1e231377146feb9d5abec4f3d780d116d510	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_08-grouped-gemm.ttadapter/before_cvpipelining_func_func_grouped_matmul_kernel_32.mlir
ascend_tutorial_09-persistent-matmul.ttadapter	complete	fail:1	1	b74fc68eab73b2b18157b5a956afa5f0ff3da9974d79e27fd30ceea43e9b8d8e	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/ascend_tutorial_09-persistent-matmul.ttadapter/before_cvpipelining_func_func_matmul_kernel_32.mlir
attn_cp_triton_kernel_3d.ttadapter	complete	fail:1	1	dc997445e1323b442bdead4cde1cb70fc310494a737f73659d0ac77bf2259dd0	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/attn_cp_triton_kernel_3d.ttadapter/before_cvpipelining_func_func_tl_fn_forward_update_32.mlir
