config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
cvpipelining_000_bd0bee20cfa74eb6	cvpipelining	exhaustive	0-19	0,1	bd0bee20cfa74eb6	1	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_001_30cddb034ec403bb	cvpipelining	exhaustive	0-19	0,1	30cddb034ec403bb	0	1	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_002_c8029b307c13cdd1	cvpipelining	exhaustive	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_003_0dee26c18b191bc4	cvpipelining	exhaustive	0-19	0,1	0dee26c18b191bc4	0	0	0	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_004_78b94b316d6438b0	cvpipelining	exhaustive	0-19	0,1	78b94b316d6438b0	0	0	1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_005_3ce76558c9ed8fc7	cvpipelining	exhaustive	0-19	0,1	3ce76558c9ed8fc7	0	0	2	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_006_50a2998750cafaa0	cvpipelining	exhaustive	0-19	0,1	50a2998750cafaa0	0	0	3	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_007_2c6c8120e825d6be	cvpipelining	exhaustive	0-19	0,1	2c6c8120e825d6be	0	0	4	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_008_a2e92a1ed78a6d48	cvpipelining	exhaustive	0-19	0,1	a2e92a1ed78a6d48	0	1	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_009_f48198c617a14acd	cvpipelining	exhaustive	0-19	0,1	f48198c617a14acd	0	0	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_010_bc642e8945db14cb	cvpipelining	exhaustive	0-19	0,1	bc642e8945db14cb	0	0	0	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_011_2979e8cbbee1ddb9	cvpipelining	exhaustive	0-19	0,1	2979e8cbbee1ddb9	0	0	1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_012_04929287953507ca	cvpipelining	exhaustive	0-19	0,1	04929287953507ca	0	0	2	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_013_88de06e2782f3aef	cvpipelining	exhaustive	0-19	0,1	88de06e2782f3aef	0	0	3	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_014_3fc1e43d78a32e7c	cvpipelining	exhaustive	0-19	0,1	3fc1e43d78a32e7c	0	0	4	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
