config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
cvpipelining_suffix_plan_memory_cross_000_c8029b307c13cdd1	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_001_bd0bee20cfa74eb6	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	bd0bee20cfa74eb6	1	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_002_30cddb034ec403bb	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	30cddb034ec403bb	0	1	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_003_f48198c617a14acd	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	f48198c617a14acd	0	0	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_004_2267cd7231b58885	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	2267cd7231b58885	0	0	-1	0	1	no-l0c	only-cube	1	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_005_9a1f379379e92693	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	9a1f379379e92693	0	0	-1	0	0	no-l0c	only-cube	0	0	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_006_73a6841be2733fdc	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	73a6841be2733fdc	0	0	-1	0	0	no-l0c	only-cube	1	1	1	1	0	1	0	0
cvpipelining_suffix_plan_memory_cross_007_702465ee73fb5dd1	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	702465ee73fb5dd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	0	0
cvpipelining_suffix_plan_memory_cross_008_fe4cc15e237edfb1	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	fe4cc15e237edfb1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	0	0
cvpipelining_suffix_plan_memory_cross_009_8b8bb1dffdcb83a7	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	8b8bb1dffdcb83a7	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	1	0
cvpipelining_suffix_plan_memory_cross_010_5d472280ed7980eb	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	5d472280ed7980eb	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	1
cvpipelining_suffix_plan_memory_cross_011_2186aaaedbb3d874	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	2186aaaedbb3d874	0	0	1	1	1	no-limit	no-limit	0	1	4	2	1	0	1	1
cvpipelining_suffix_plan_memory_cross_012_390e9f4fd537b17b	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	390e9f4fd537b17b	0	0	0	1	1	only-cube	only-vector	0	0	2	4	1	1	1	1
cvpipelining_suffix_plan_memory_cross_013_e54c59d1eda9d4fd	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	e54c59d1eda9d4fd	0	0	2	0	1	only-vector	no-l0c	1	0	4	2	0	0	0	0
cvpipelining_suffix_plan_memory_cross_014_92e6d1bc224fd28c	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	92e6d1bc224fd28c	0	0	4	0	1	only-cube	no-limit	1	0	2	4	0	0	0	0
cvpipelining_suffix_plan_memory_cross_015_00ac8ea1beba052f	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	00ac8ea1beba052f	0	1	-1	1	1	only-vector	no-l0c	0	1	4	4	1	1	1	1
cvpipelining_suffix_plan_memory_cross_016_d217d032d3052b32	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	d217d032d3052b32	0	0	3	0	1	no-limit	only-vector	1	0	4	2	0	1	0	0
cvpipelining_suffix_plan_memory_cross_017_3f42b3891e19511f	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	3f42b3891e19511f	1	0	-1	0	1	only-cube	no-l0c	0	1	2	2	1	0	1	1
cvpipelining_suffix_plan_memory_cross_018_d549a0e0f19e39cb	cvpipelining_suffix_plan_memory_cross	fixed-seed-random+greedy-pairwise	0-19	0,1	d549a0e0f19e39cb	0	0	4	1	0	no-l0c	only-cube	0	1	4	2	1	1	1	1
