config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
p1_planmemory_000_c8029b307c13cdd1	p1_planmemory	exhaustive	0	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_001_c8029b307c13cdd1	p1_planmemory	exhaustive	1	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_002_c8029b307c13cdd1	p1_planmemory	exhaustive	2	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_003_c8029b307c13cdd1	p1_planmemory	exhaustive	3	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_004_c8029b307c13cdd1	p1_planmemory	exhaustive	4	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_005_c8029b307c13cdd1	p1_planmemory	exhaustive	5	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_006_c8029b307c13cdd1	p1_planmemory	exhaustive	6	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_007_c8029b307c13cdd1	p1_planmemory	exhaustive	7	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_008_c8029b307c13cdd1	p1_planmemory	exhaustive	8	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_009_c8029b307c13cdd1	p1_planmemory	exhaustive	9	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_010_c8029b307c13cdd1	p1_planmemory	exhaustive	10	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_011_c8029b307c13cdd1	p1_planmemory	exhaustive	11	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_012_c8029b307c13cdd1	p1_planmemory	exhaustive	12	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_013_c8029b307c13cdd1	p1_planmemory	exhaustive	13	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_014_c8029b307c13cdd1	p1_planmemory	exhaustive	14	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_015_c8029b307c13cdd1	p1_planmemory	exhaustive	15	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_016_c8029b307c13cdd1	p1_planmemory	exhaustive	16	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_017_c8029b307c13cdd1	p1_planmemory	exhaustive	17	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_018_c8029b307c13cdd1	p1_planmemory	exhaustive	18	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_019_c8029b307c13cdd1	p1_planmemory	exhaustive	19	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_020_c8029b307c13cdd1	p1_planmemory	exhaustive	0	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_021_c8029b307c13cdd1	p1_planmemory	exhaustive	1	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_022_c8029b307c13cdd1	p1_planmemory	exhaustive	2	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_023_c8029b307c13cdd1	p1_planmemory	exhaustive	3	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_024_c8029b307c13cdd1	p1_planmemory	exhaustive	4	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p1_planmemory_025_c8029b307c13cdd1	p1_planmemory	exhaustive	5	1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
