config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
p3_suffix_buffer_000_c8029b307c13cdd1	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p3_suffix_buffer_001_2267cd7231b58885	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	2267cd7231b58885	0	0	-1	0	1	no-l0c	only-cube	1	0	1	1	0	1	0	0
p3_suffix_buffer_002_970cf55a9404387b	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	970cf55a9404387b	0	0	-1	0	1	no-limit	no-limit	1	0	1	1	0	1	0	0
p3_suffix_buffer_003_9a1f379379e92693	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	9a1f379379e92693	0	0	-1	0	0	no-l0c	only-cube	0	0	1	1	0	1	0	0
p3_suffix_buffer_004_73a6841be2733fdc	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	73a6841be2733fdc	0	0	-1	0	0	no-l0c	only-cube	1	1	1	1	0	1	0	0
p3_suffix_buffer_005_05830432833b913a	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	05830432833b913a	0	0	-1	0	0	no-l0c	only-cube	1	0	4	1	0	1	0	0
p3_suffix_buffer_006_d72bd4b16c3806b2	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	d72bd4b16c3806b2	0	0	-1	0	0	no-l0c	only-cube	1	0	1	4	0	1	0	0
p3_suffix_buffer_007_0247ab4bf4844ca2	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	0247ab4bf4844ca2	0	0	-1	0	1	only-cube	no-l0c	0	1	2	2	0	1	0	0
p3_suffix_buffer_008_8f24b0e4f7011454	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	8f24b0e4f7011454	0	0	-1	0	1	only-vector	only-vector	0	1	4	4	0	1	0	0
p3_suffix_buffer_009_119c304dd76356fd	p3_suffix_buffer	anchor+greedy-pairwise	0-19	0,1	119c304dd76356fd	0	0	-1	0	1	only-vector	only-vector	1	0	2	2	0	1	0	0
