config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
p5_cross_priority_000_c8029b307c13cdd1	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p5_cross_priority_001_bd0bee20cfa74eb6	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	bd0bee20cfa74eb6	1	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p5_cross_priority_002_30cddb034ec403bb	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	30cddb034ec403bb	0	1	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p5_cross_priority_003_f48198c617a14acd	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	f48198c617a14acd	0	0	-1	1	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
p5_cross_priority_004_2267cd7231b58885	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	2267cd7231b58885	0	0	-1	0	1	no-l0c	only-cube	1	0	1	1	0	1	0	0
p5_cross_priority_005_9a1f379379e92693	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	9a1f379379e92693	0	0	-1	0	0	no-l0c	only-cube	0	0	1	1	0	1	0	0
p5_cross_priority_006_73a6841be2733fdc	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	73a6841be2733fdc	0	0	-1	0	0	no-l0c	only-cube	1	1	1	1	0	1	0	0
p5_cross_priority_007_702465ee73fb5dd1	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	702465ee73fb5dd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	1	1	0	0
p5_cross_priority_008_fe4cc15e237edfb1	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	fe4cc15e237edfb1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	0	0	0
p5_cross_priority_009_8b8bb1dffdcb83a7	p5_cross_priority	fixed-seed-random+greedy-pairwise	0-19	0,1	8b8bb1dffdcb83a7	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	1	0
