config_id	batch	origin	plan_memory_seeds	restrict_modes	config_digest	disable_cv_pipelining	enable_preload	cv_pipeline_depth	enable_cv_lazy_loading	enable_auto_multi_buffer	local_multi_buffer_strategy	mix_multi_buffer_strategy	enable_code_motion	enable_ubuf_saving	tile_mix_cube_loop	tile_mix_vector_loop	disable_align_alloc_size	enable_hivm_auto_storage_align	disable_enable_stride_align	disable_infer_hivm_data_layout
plan_memory_000_c8029b307c13cdd1	plan_memory	exhaustive	0	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_001_c8029b307c13cdd1	plan_memory	exhaustive	1	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_002_c8029b307c13cdd1	plan_memory	exhaustive	2	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_003_c8029b307c13cdd1	plan_memory	exhaustive	3	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_004_c8029b307c13cdd1	plan_memory	exhaustive	4	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_005_c8029b307c13cdd1	plan_memory	exhaustive	5	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_006_c8029b307c13cdd1	plan_memory	exhaustive	6	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_007_c8029b307c13cdd1	plan_memory	exhaustive	7	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_008_c8029b307c13cdd1	plan_memory	exhaustive	8	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_009_c8029b307c13cdd1	plan_memory	exhaustive	9	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_010_c8029b307c13cdd1	plan_memory	exhaustive	10	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_011_c8029b307c13cdd1	plan_memory	exhaustive	11	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_012_c8029b307c13cdd1	plan_memory	exhaustive	12	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_013_c8029b307c13cdd1	plan_memory	exhaustive	13	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_014_c8029b307c13cdd1	plan_memory	exhaustive	14	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_015_c8029b307c13cdd1	plan_memory	exhaustive	15	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_016_c8029b307c13cdd1	plan_memory	exhaustive	16	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
plan_memory_017_c8029b307c13cdd1	plan_memory	exhaustive	17	0	c8029b307c13cdd1	0	0	-1	0	0	no-l0c	only-cube	1	0	1	1	0	1	0	0
