case	mode	origin	source_function	path
alias_if_three_results	exact	source-derived	test_if_multi_yield_not_alias	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/alias_if_three_results.mlir
alias_multi_if_separate_results	exact	source-derived	test_multi_if_yield_not_alias	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/alias_multi_if_separate_results.mlir
alias_select_conditional	exact	source-derived	test_select_cond_alias_not_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/alias_select_conditional.mlir
alias_subview_in_loop_multi	exact	source-derived	test_plan_memory_subview_in_loop	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/alias_subview_in_loop_multi.mlir
alias_subview_offset_not_inplace	exact	source-derived	test_vabs_offset_unequal_not_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/alias_subview_offset_not_inplace.mlir
boundary_align_31_32_33_bytes	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/boundary_align_31_32_33_bytes.mlir
boundary_capacity_exact_192kib	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/boundary_capacity_exact_192kib.mlir
boundary_capacity_over_by_one_byte	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/boundary_capacity_over_by_one_byte.mlir
control_cf_backedge_loop	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_cf_backedge_loop.mlir
control_cf_branches_with_scf_for	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_cf_branches_with_scf_for.mlir
control_cf_diamond_multi_arg	exact	source-derived	test_branchop_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_cf_diamond_multi_arg.mlir
control_cf_diamond_single_arg	exact	source-derived	test_branchop	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_cf_diamond_single_arg.mlir
control_for_iter_if_use	exact	source-derived	test_iter_arg_use_in_if_yield_outside	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_for_iter_if_use.mlir
control_for_result_alias	exact	source-derived	test_plan_memory_for_result	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_for_result_alias.mlir
control_if_else_no_result	exact	source-derived	test_if_else	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_if_else_no_result.mlir
control_if_yield_single_result	exact	source-derived	test_infer_plan_memory_if_yield	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_if_yield_single_result.mlir
control_preload_expand_lifetime	exact	source-derived	test_preload_buffer_expand_lifetime	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_preload_expand_lifetime.mlir
control_scope_nested_iter_copy	exact	source-derived	test_scope_copy_arg_used_after_yield_init	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_scope_nested_iter_copy.mlir
control_scope_two_preload_buffers	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_scope_two_preload_buffers.mlir
control_scope_two_ub_results	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_scope_two_ub_results.mlir
control_while_do_while_ub	exact	source-derived	test_dowhile_yield_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_while_do_while_ub.mlir
control_while_scalar_live	exact	source-derived	test_scfwhileop	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_while_scalar_live.mlir
control_while_two_ub_results	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_while_two_ub_results.mlir
control_while_ub_loop_carried	exact	source-derived	test_scfwhileop_yield_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/control_while_ub_loop_carried.mlir
liveness_five_live_buffers	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/liveness_five_live_buffers.mlir
liveness_nested_if_in_for	exact	source-derived	test_dead_after_op_nested_if_in_for	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/liveness_nested_if_in_for.mlir
planner_basic_reuse_chain	exact	source-derived	test_mem_allocate_basic	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_basic_reuse_chain.mlir
planner_multi_buffer_count4	exact	source-derived	test_mem_plan_multi_address	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_multi_buffer_count4.mlir
planner_multi_buffer_four_inplace	exact	source-derived	test_mem_inplace_mb_and_mb	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_multi_buffer_four_inplace.mlir
planner_multi_buffer_level0_inplace	exact	source-derived	test_multi_buffer_loadstore_level0_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_multi_buffer_level0_inplace.mlir
planner_multi_buffer_no_inplace	exact	source-derived	test_multi_buffer_loadstore_not_inplace	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_multi_buffer_no_inplace.mlir
planner_multi_buffer_single_to_four	exact	source-derived	test_inplace_single_and_mb	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_multi_buffer_single_to_four.mlir
planner_specalloc_overlap	exact	source-derived	test_mem_specalloc_max	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_specalloc_overlap.mlir
planner_zero_temp_buffer	exact	source-derived	test_mem_noreuse_max	cvpipeline_ub_model_cpp/testdata/plan_memory/exact/planner_zero_temp_buffer.mlir
type_rank0_i32	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/plan_memory/exact/type_rank0_i32.mlir
