case	mode	origin	source_function	path
b_alias_if_three_results	exact	source-derived	test_if_multi_yield_not_alias	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_alias_if_three_results.mlir
b_alias_multi_if_separate_results	exact	source-derived	test_multi_if_yield_not_alias	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_alias_multi_if_separate_results.mlir
b_alias_select_conditional	exact	source-derived	test_select_cond_alias_not_inplace	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_alias_select_conditional.mlir
b_alias_subview_in_loop_multi	exact	source-derived	test_plan_memory_subview_in_loop	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_alias_subview_in_loop_multi.mlir
b_alias_subview_offset_not_inplace	exact	source-derived	test_vabs_offset_unequal_not_inplace	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_alias_subview_offset_not_inplace.mlir
b_boundary_align_31_32_33_bytes	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_boundary_align_31_32_33_bytes.mlir
b_boundary_capacity_exact_192kib	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_boundary_capacity_exact_192kib.mlir
b_boundary_capacity_over_by_one_byte	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_boundary_capacity_over_by_one_byte.mlir
b_control_cf_backedge_loop	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_control_cf_backedge_loop.mlir
b_control_cf_branches_with_scf_for	exact	boundary-designed		cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_control_cf_branches_with_scf_for.mlir
b_control_cf_diamond_multi_arg	exact	source-derived	test_branchop_inplace	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_control_cf_diamond_multi_arg.mlir
b_control_cf_diamond_single_arg	exact	source-derived	test_branchop	cvpipeline_ub_model_cpp/testdata/planmemory_b/exact/b_control_cf_diamond_single_arg.mlir
