scenario_id	adapters
auto_blockify_auto_mb	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
auto_blockify_auto_mb_unrestricted	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
auto_mb_default	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
auto_mb_unrestricted	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
auto_mb_vector_only	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
auto_mb_with_l0c	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
auto_mb_workspace_2	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
inject_block_auto_mb	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
preload_auto_mb	ascend_tutorial_09-persistent-matmul.ttadapter,python_tutorial_03-matrix-multiplication.ttadapter,python_tutorial_09-persistent-matmul.ttadapter,s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
tile_balanced_high_auto_mb	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
tile_cube_heavy_auto_mb	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
tile_vector_heavy_auto_mb	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
ubuf_saving_auto_mb	s1_exp3_BLOCK_V_512_5392us.ttadapter,s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,s4_exp10_workspace_sv_bf16_4294us.ttadapter,s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,s8_exp28_hoist_Q_loads_3589us.ttadapter
